Year,Category,Nominee
1938 (11th),Animated Feature Film,"To Walt Disney for Snow White and the Seven Dwarfs, recognized as a significant screen innovation which has charmed millions and pioneered a great new entertainment field for the motion picture cartoon."
1938 (11th),Art Direction,The Adventures of Robin Hood
1938 (11th),Cinematography,The Great Waltz
1938 (11th),Cinematography,"To Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Sweethearts."
1938 (11th),Directing,You Can't Take It with You
1938 (11th),Film Editing,The Adventures of Robin Hood
1938 (11th),Music (Scoring),The Adventures of Robin Hood
1938 (11th),Music (Scoring),Alexander's Ragtime Band
1938 (11th),Music (Song),The Big Broadcast of 1938
1938 (11th),Best Picture,You Can't Take It with You
1938 (11th),Short Film (Animated),Ferdinand the Bull
1938 (11th),Short Film (Live Action),That Mothers Might Live
1938 (11th),Short Film (Live Action),Declaration of Independence
1938 (11th),Sound,The Cowboy and the Lady
1938 (11th),Writing,Boys Town
1938 (11th),Writing,Pygmalion
1938 (11th),Irving G. Thalberg Memorial Award,Hal B. Wallis[NOTE: This is the only year that nominations were announced for the Thalberg award.]
1937 (10th),Actor -- Leading Role,Spencer Tracy
1937 (10th),Actor -- Supporting Role,Joseph Schildkraut
1937 (10th),Actress -- Leading Role,Luise Rainer
1937 (10th),Actress -- Supporting Role,Alice Brady
1937 (10th),Art Direction,Lost Horizon
1937 (10th),Cinematography,The Good Earth
1937 (10th),Cinematography,To W. Howard Greene for the color photography of A Star Is Born. (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)
1937 (10th),Directing,The Awful Truth
1937 (10th),Film Editing,Lost Horizon
1937 (10th),Music (Scoring),One Hundred Men and a Girl
1937 (10th),Music (Song),Waikiki Wedding
1937 (10th),Best Picture,The Life of Emile Zola
1937 (10th),Short Film (Animated),The Old Mill
1937 (10th),Short Film (Live Action),Penny Wisdom
1937 (10th),Short Film (Live Action),The Private Life of the Gannets
1937 (10th),Short Film (Live Action),Torture Money
1937 (10th),Sound,The Hurricane
1937 (10th),Writing,A Star Is Born
1937 (10th),Writing,The Life of Emile Zola
1937 (10th),Irving G. Thalberg Memorial Award,Darryl F. Zanuck
1936 (9th),Actor -- Leading Role,Paul Muni
1936 (9th),Actor -- Supporting Role,Walter Brennan
1936 (9th),Actress -- Leading Role,Luise Rainer
1936 (9th),Actress -- Supporting Role,Gale Sondergaard
1936 (9th),Art Direction,Dodsworth
1936 (9th),Cinematography,Anthony Adverse
1936 (9th),Cinematography,"To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, The Garden of Allah."
1936 (9th),Directing,Mr. Deeds Goes to Town
1936 (9th),Film Editing,Anthony Adverse
1936 (9th),Music (Scoring),Anthony Adverse
1936 (9th),Music (Song),Swing Time
1936 (9th),Best Picture,The Great Ziegfeld
1936 (9th),Short Film (Animated),The Country Cousin
1936 (9th),Short Film (Live Action),Give Me Liberty
1936 (9th),Short Film (Live Action),Bored of Education
1936 (9th),Short Film (Live Action),The Public Pays
1936 (9th),Sound,San Francisco
1936 (9th),Writing,The Story of Louis Pasteur
1936 (9th),Writing,The Story of Louis Pasteur
1935 (8th),Actor -- Leading Role,Victor McLaglen
1935 (8th),Actress -- Leading Role,Bette Davis
1935 (8th),Art Direction,The Dark Angel
1935 (8th),Cinematography,A Midsummer Night's Dream
1935 (8th),Directing,The Informer
1935 (8th),Film Editing,A Midsummer Night's Dream
1935 (8th),Music (Scoring),The Informer
1935 (8th),Music (Song),Gold Diggers of 1935
1935 (8th),Best Picture,Mutiny on the Bounty
1935 (8th),Short Film (Animated),Three Orphan Kittens
1935 (8th),Short Film (Live Action),How to Sleep
1935 (8th),Short Film (Live Action),Wings over Mt. Everest
1935 (8th),Sound,Naughty Marietta
1935 (8th),Writing,The Scoundrel
1935 (8th),Writing,The Informer
1934 (7th),Actor -- Leading Role,Clark Gable
1934 (7th),Actress -- Leading Role,Claudette Colbert
1934 (7th),Art Direction,The Merry Widow
1934 (7th),Cinematography,Cleopatra
1934 (7th),Directing,It Happened One Night
1934 (7th),Film Editing,Eskimo
1934 (7th),Music (Scoring),One Night of Love
1934 (7th),Music (Song),The Gay Divorcee
1934 (7th),Best Picture,It Happened One Night
1934 (7th),Short Film (Animated),The Tortoise and the Hare
1934 (7th),Short Film (Live Action),La Cucaracha
1934 (7th),Short Film (Live Action),City of Wax
1934 (7th),Sound,One Night of Love
1934 (7th),Writing,It Happened One Night
1934 (7th),Writing,Manhattan Melodrama
1932/33 (6th),Actor -- Leading Role,Charles Laughton
1932/33 (6th),Actress -- Leading Role,Katharine Hepburn
1932/33 (6th),Art Direction,Cavalcade
1932/33 (6th),Cinematography,A Farewell to Arms
1932/33 (6th),Directing,Cavalcade
1932/33 (6th),Best Picture,Cavalcade
1932/33 (6th),Short Film (Animated),The Three Little Pigs
1932/33 (6th),Short Film (Live Action),So This Is Harris
1932/33 (6th),Short Film (Live Action),Krakatoa
1932/33 (6th),Sound,A Farewell to Arms
1932/33 (6th),Writing,Little Women
1932/33 (6th),Writing,One Way Passage
1931/32 (5th),Actor -- Leading Role,Wallace Beery
1931/32 (5th),Actor -- Leading Role,Fredric March
1931/32 (5th),Actress -- Leading Role,Helen Hayes
1931/32 (5th),Art Direction,Transatlantic
1931/32 (5th),Cinematography,Shanghai Express
1931/32 (5th),Directing,Bad Girl
1931/32 (5th),Best Picture,Grand Hotel
1931/32 (5th),Short Film (Animated),Flowers and Trees
1931/32 (5th),Short Film (Live Action),The Music Box
1931/32 (5th),Short Film (Live Action),Wrestling Swordfish
1931/32 (5th),Sound,Paramount Publix Studio Sound Department[NOTE: This award was not associated with any specific film title.]
1931/32 (5th),Writing,Bad Girl
1931/32 (5th),Writing,The Champ
1930/31 (4th),Actor -- Leading Role,Lionel Barrymore
1930/31 (4th),Actress -- Leading Role,Marie Dressler
1930/31 (4th),Art Direction,Cimarron
1930/31 (4th),Cinematography,Tabu
1930/31 (4th),Directing,Skippy
1930/31 (4th),Best Picture,Cimarron
1930/31 (4th),Sound,Paramount Publix Studio Sound Department[NOTE: This award was not associated with any specific film title.]
1930/31 (4th),Writing,Cimarron
1930/31 (4th),Writing,The Dawn Patrol
1929/30 (3rd),Actor -- Leading Role,George Arliss
1929/30 (3rd),Actress -- Leading Role,Norma Shearer
1929/30 (3rd),Art Direction,King of Jazz
1929/30 (3rd),Cinematography,With Byrd at the South Pole
1929/30 (3rd),Directing,Lewis Milestone
1929/30 (3rd),Best Picture,All Quiet on the Western Front
1929/30 (3rd),Sound,The Big House
1929/30 (3rd),Writing,The Big House
1928/29 (2nd),Actor -- Leading Role,Warner Baxter
1928/29 (2nd),Actress -- Leading Role,Mary Pickford
1928/29 (2nd),Art Direction,Cedric Gibbons
1928/29 (2nd),Cinematography,Clyde De Vinna
1928/29 (2nd),Directing,Frank Lloyd
1928/29 (2nd),Best Picture,Metro-Goldwyn-Mayer
1928/29 (2nd),Writing,Hans Kraly
1927/28 (1st),Actor -- Leading Role,Emil Jannings
1927/28 (1st),Actor -- Leading Role,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]"
1927/28 (1st),Actress -- Leading Role,Janet Gaynor
1927/28 (1st),Art Direction,William Cameron Menzies
1927/28 (1st),Cinematography,Charles Rosher
1927/28 (1st),Cinematography,Karl Struss
1927/28 (1st),Directing,Lewis Milestone
1927/28 (1st),Directing,Frank Borzage
1927/28 (1st),Directing,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]"
1927/28 (1st),Best Picture,Paramount Famous Lasky
1927/28 (1st),Writing,Benjamin Glazer
1927/28 (1st),Writing,Ben Hecht
1927/28 (1st),Writing,Joseph Farnham[NOTE: This award was not associated with any specific film title.]
1927/28 (1st),Writing,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]"
